Time Stamp,Region ID,Filtered,RSS,CL1,CL2,CL3,Red Info,GSS,RP1H,RP1L,EDR,Green R^2,Green Info,VSS,RP2H,RP2L,Violet Spare1,Violet R^2,Violet Info,Bead Info
1281018416,374,0,12268.58203,688.16406,1730.09375,8807.22266,0,3843.39063,3523.42676,3542.41064,0,0,0,3917.375,0.82617,4.53711,0,0,0,0
1281020187,71,0,12772.78906,56.87109,4970.42969,2162.17188,0,3646.54688,148732.0938,2629581.5,4162443.5,0,2,4395.87891,4.31836,4.26758,0,0,0,0
1281021876,102,0,9717.27344,52.97266,80.83984,135.77734,0,6082.30469,141228.125,1603787.25,1749064.875,0,2,3597.48828,5.65625,7.54688,0,0,0,0
1281023597,500,0,11815.88281,13293.41406,7826.84375,9458.13672,0,5145.375,99.94205,117.98163,37035.78906,0,0,3193.42578,6.24219,4.76172,0,0,0,0
1281026167,96,0,15191.13281,2486.27734,13338.19141,6677.78516,0,3444.46484,247.4781,273.48044,31391.04297,0,0,3783.30469,32.26758,30.81641,0,0,0,0
1281027463,71,0,11565.94922,59.79297,4787.65234,2083.34766,0,4524.16406,148739.7344,2683062.5,4398796,0,2,3381.15234,5.79688,0.76367,0,0,0,0
1281037069,352,0,14080.96875,447.91797,925.33984,1815.47656,0,4248.26563,108800.6875,139626.0781,163746.6875,0,1,2049.13672,9.87109,0.26953,0,0,0,0
1281043196,22,0,11128.24219,1291.48438,206.03125,57.51563,0,5249.63672,503.8526,521.78485,0,0,0,3477.39453,186.17383,189.88477,0,0,0,0
1281046168,374,0,13495.92969,616.35938,1549.99609,8627.54297,0,3505.29688,2923.01245,2899.9292,38519.79688,0,0,3617.27344,9.27539,5.75,0,0,0,0
1281055338,352,0,11803.57813,563.72656,1146.03125,2276.26172,0,2745.73047,118122.6797,196539.875,147848.7969,0,1,3486.33203,4.56641,6.82813,0,0,0,0
1281056461,500,0,10489.03516,12370.875,7499.08984,8804.56641,0,6531.12109,295.21164,316.4277,48634.95703,0,0,3749.43359,12.82031,10.24219,0,0,0,0
1281056978,352,0,11939.66016,662.35156,1321.87109,2720.66016,0,3868.33984,121354.5,222950.4688,240596.1719,0,1,3818.11719,13.58008,11.05078,0,0,0,0
1281064103,352,0,9245.83594,553.16797,1149.77734,2338.01953,0,3444.32813,115829.2813,187900.3125,154152.7656,0,1,2743.87891,9.91797,4.85156,0,0,0,0
1281070318,22,0,12007.11328,1096.20703,173.83594,49.23438,0,2906.5625,624.50635,618.7865,0,0,0,2862.04297,128.23633,127.71289,0,0,0,0
1281079723,0,1,17843.57422,24347.91016,5533.50781,1814.04297,0,3614.21875,568.26282,579.04791,12607.92773,0,0,2602.20313,20062.98047,24439.07227,0,0,1,0
1281082578,22,0,9035.75,1087.11719,170.36328,46.3125,0,4694.09375,575.2168,598.79376,7033.70313,0,0,2643.57422,167.99219,166.70508,0,0,0,0
1281088068,153,0,16230.92578,69.63672,5354.80469,10063.05078,0,3608.05859,346.14313,341.85052,21533.43359,0,0,3390.35547,1750.5918,1757.07422,0,0,0,0
1281097546,71,0,15559.77344,65.05469,5272.16797,2325.77734,0,4924.05859,150124.4219,2724794.25,4594228.5,0,2,3904.55859,3.76367,5.12109,0,0,0,0
1281104509,352,0,14074.54688,699.75,1419.33984,2804.16797,0,3616.375,120757.6484,232056.7813,231124.9063,0,1,3875.39453,8.22852,13.16211,0,0,0,0
1281107281,22,0,10668.82422,1434.13281,231.18359,61.17578,0,6237.51172,696.63245,692.3399,0,0,0,4006.58984,219.63477,217.4668,0,0,0,0
1281110807,71,0,15450.16406,63.33594,5183.43359,2269.8125,0,3371.01563,149387.9219,2668852.25,4350737.5,0,2,4142.86328,6.67773,0,0,0,0,0
1281111374,500,0,13221.14453,12618.34375,7458.10547,8929.3125,0,3561.67969,179.3441,167.59315,22578.98438,0,0,3824.35938,11.86328,13.16211,0,0,0,0
1281113176,71,0,16588.625,60.50391,5016.95703,2193.05078,0,3554.91406,149096.6094,2686360,4394770.5,0,2,3194.60938,4.12109,7.81641,0,0,0,0
1281130177,102,0,15916.94141,62.62109,98.53516,165.69531,0,3717.33984,135799.1719,1490364.375,1597245.375,0,2,4044.30078,9.29297,5.92969,0,0,0,0
1281146211,102,0,11960.13672,52.54297,79.40234,137.44922,0,3365.76172,139135.5781,1404440.25,1473180.5,0,2,3512.54297,6.02344,8.31055,0,0,0,0
1281146899,500,0,10560.80078,12393.83203,7372.89063,8807.69531,0,6287.37109,300.8671,309.51666,25458.08008,0,0,3528.13672,6.3418,5.43555,0,0,0,0
